county,pri_dem_BOLLANDER,pri_dem_CAMPBELL,pri_dem_CLINTON,pri_dem_DALEY,pri_dem_DOBSON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GEST,pri_dem_GRAVEL,pri_dem_GRAYSON,pri_dem_HAYMER,pri_dem_HUBBARD,pri_dem_KRUEGER,pri_dem_KUCINICH,pri_dem_LEE,pri_dem_LYNCH,pri_dem_MONTELL,pri_dem_OATMAN,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_dem_SEE,pri_dem_TANNER,pri_dem_VITULLO,pri_dem_WHITEHOUSE,pri_rep_BURZYNSKI,pri_rep_CORT,pri_rep_CURRY,pri_rep_FITZPATRICK,pri_rep_FORTHAN,pri_rep_GILBERT,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_MCENULTY,pri_rep_MCGRATH,pri_rep_MITCHELL,pri_rep_MURPHY,pri_rep_OUTZEN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_RUBEN,pri_rep_SHAW,pri_rep_SHEPARD,pri_rep_SKELLEY,pri_rep_SMITH,pri_rep_THOMPSON,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_lbt_BARR,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_JAY,gen_wri_NADER,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,grn_general_total,lbt_general_total,wri_general_total
Apache,8,18,3768,8,20,5,208,3,5,6,5,15,16,20,6,29,11,13,1977,267,9,8,12,44,4,3,3,7,1,2,25,226,7,3,878,3,8,8,1,4,140,1006,2,2,3,1,0,24,15390,75,111,8551,0,26,0,109,2361,6481,8551,15390,75,111,135
Cochise,3,4,4896,4,14,14,468,2,14,10,2,7,5,63,2,5,5,5,3782,58,8,4,5,13,1,0,1,2,3,0,95,1367,16,40,4354,8,11,2,1,0,444,4260,4,2,4,1,1,82,18943,90,371,29026,0,34,0,356,10699,9393,29026,18943,90,371,390
Coconino,19,16,4884,6,18,13,360,4,7,10,4,12,22,43,11,15,4,10,6410,113,8,8,0,53,2,1,6,7,3,1,80,1096,10,18,4245,6,9,2,5,1,421,2295,2,3,6,2,0,60,31433,117,267,22186,1,31,0,309,8281,12050,22186,31433,117,267,341
Gila,11,8,2839,7,14,12,633,5,7,13,7,8,10,28,3,7,2,12,2102,90,10,4,5,15,0,2,1,1,1,0,115,763,13,20,3120,1,10,3,2,1,250,1615,0,2,0,0,0,126,7884,31,150,14095,0,17,0,156,6046,5852,14095,7884,31,150,173
Graham,2,10,1027,4,2,10,184,1,0,9,0,2,0,4,6,8,2,3,904,50,4,2,2,8,1,0,0,0,0,0,8,167,3,2,696,2,1,2,1,1,58,1845,0,0,0,1,0,13,3487,23,60,8376,0,5,0,56,2801,2244,8376,3487,23,60,61
Greenlee,1,5,574,1,0,0,121,1,0,8,1,2,0,3,2,3,1,3,383,30,1,0,0,2,0,0,0,0,0,0,6,53,2,2,154,0,0,0,0,0,7,137,0,0,0,0,0,7,1165,3,16,1712,0,0,0,17,368,1142,1712,1165,3,16,17
La Paz,2,3,581,0,2,1,57,1,3,8,1,1,2,0,2,3,1,0,359,10,0,1,0,3,0,0,0,0,0,1,14,159,7,3,712,0,3,0,1,0,38,377,0,0,0,0,0,17,1929,14,39,3509,0,8,0,53,1332,1041,3509,1929,14,39,61
Maricopa,48,96,125553,35,203,275,15712,33,154,155,54,69,127,1215,60,84,28,80,108235,1278,113,61,79,238,60,40,61,124,51,29,11405,28709,792,600,167717,232,316,112,217,30,15106,116995,61,35,41,35,30,7448,602166,1799,7605,746448,5,832,12,6095,350246,253985,746448,602166,1799,7605,6944
Mohave,3,9,6541,3,13,16,591,2,5,15,5,13,10,50,8,8,2,17,3237,92,7,3,2,27,3,0,4,8,5,4,223,2060,50,19,8512,10,22,6,4,1,819,5469,0,3,2,0,1,286,22092,111,433,44333,0,75,0,561,17511,10679,44333,22092,111,433,636
Navajo,9,15,3834,8,18,15,325,2,15,20,4,10,28,33,10,18,9,7,2838,181,10,6,4,53,5,1,5,7,2,4,41,573,7,14,2538,6,5,6,3,2,257,4065,0,2,4,3,0,29,15579,70,158,19761,0,50,0,182,7579,7472,19761,15579,70,158,232
Pima,22,31,49641,16,51,59,2483,15,94,32,12,40,38,365,25,23,20,20,44446,348,52,14,11,105,13,4,11,24,6,3,725,7092,60,145,36334,47,60,25,14,5,2951,29383,21,7,12,4,5,515,206254,683,1923,182406,1,162,4,1995,77466,97963,182406,206254,683,1923,2162
Pinal,10,13,10768,4,18,26,973,5,16,22,7,11,18,65,12,30,2,9,7542,120,13,10,9,33,1,1,2,6,0,1,345,1935,33,29,8878,8,15,12,8,3,865,8057,3,1,1,0,2,305,44254,116,530,59421,0,0,0,562,20511,19736,59421,44254,116,530,562
Santa Cruz,2,1,2201,1,5,6,74,0,0,4,0,4,2,13,1,0,0,1,1175,23,0,0,0,6,2,1,0,1,0,0,30,125,3,1,728,1,1,3,1,0,62,515,2,2,1,0,1,16,8683,17,49,4518,0,1,0,35,1496,3519,4518,8683,17,49,36
Yavapai,8,10,6932,0,6,12,608,5,13,7,3,6,7,43,5,10,5,3,7288,80,8,2,2,12,1,1,3,6,2,4,233,3337,31,41,12224,6,23,2,6,4,1043,7709,4,2,2,0,1,232,36889,185,638,61192,0,106,0,638,24917,15075,61192,36889,185,638,744
Yuma,6,9,5462,1,14,20,824,3,7,3,2,9,6,28,9,5,2,9,2448,102,6,7,1,20,5,4,1,6,1,4,313,1187,48,33,4107,3,6,10,5,1,231,3110,5,1,2,3,3,332,18559,72,205,24577,1,24,0,177,9421,9003,24577,18559,72,205,202
