county,gen_aip_KEYES,gen_btp_JAY,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_hq8_ALLEN,gen_lib_BARR,gen_obj_STEVENS,gen_prh_AMONDSON,gen_psl_RIVA,gen_rep_MCCAIN,gen_spu_MOORE,gen_swp_HARRIS,gen_una_MCENULTY,gen_una_NADER,gen_usp_LYTTLE,rep_general_total,dem_general_total,lib_general_total,cst_general_total,grn_general_total,una_general_total,aip_general_total,btp_general_total,obj_general_total,prh_general_total,psl_general_total,swp_general_total,spu_general_total,ups_general_total,hq8_general_total
Adams,346,29,459,93445,217,25,725,13,8,6,63976,17,14,93,1121,7,63976,93445,725,459,217,1214,346,29,13,8,6,14,17,0,25
Alamosa,6,2,24,3521,14,0,16,2,0,3,2635,0,1,1,61,0,2635,3521,16,24,14,62,6,2,2,0,3,1,0,0,0
Arapahoe,309,61,636,148224,278,27,1210,28,7,13,113868,27,12,73,1365,18,113868,148224,1210,636,278,1438,309,61,28,7,13,12,27,0,27
Archuleta,11,4,38,2836,8,0,31,1,0,3,3638,2,2,2,48,1,3638,2836,31,38,8,50,11,4,1,0,3,2,2,0,0
Baca,11,2,10,536,5,1,10,1,0,0,1572,0,2,0,25,0,1572,536,10,10,5,25,11,2,1,0,0,2,0,0,1
Bent,1,1,6,799,2,1,6,0,2,0,1077,1,0,0,23,1,1077,799,6,6,2,23,1,1,0,2,0,0,1,0,1
Boulder,133,35,376,124159,250,20,928,34,5,4,44904,13,13,33,852,4,44904,124159,928,376,250,885,133,35,34,5,4,13,13,0,20
Broomfield,42,14,79,16168,32,4,165,8,0,2,12757,1,1,11,169,0,12757,16168,165,79,32,180,42,14,8,0,2,1,1,0,4
Chaffee,21,3,37,4862,13,1,39,1,0,0,4873,0,0,4,67,0,4873,4862,39,37,13,71,21,3,1,0,0,0,0,0,1
Cheyenne,1,0,5,198,1,0,3,0,0,0,890,0,0,1,12,0,890,198,3,5,1,13,1,0,0,0,0,0,0,0,0
Clear Creek,5,3,13,3332,7,0,54,1,3,1,2300,1,0,3,43,1,2300,3332,54,13,7,46,5,3,1,3,1,0,1,0,0
Conejos,2,1,22,2154,5,0,3,3,1,3,1653,0,2,0,25,0,1653,2154,3,22,5,25,2,1,3,1,3,2,0,0,0
Costilla,4,1,5,1245,1,1,8,0,0,0,415,0,1,2,11,3,415,1245,8,5,1,13,4,1,0,0,0,1,0,0,1
Crowley,0,1,5,552,4,2,3,0,0,1,976,0,0,0,14,0,976,552,3,5,4,14,0,1,0,0,1,0,0,0,2
Custer,5,2,7,912,4,0,13,0,0,0,1672,0,0,1,13,0,1672,912,13,7,4,14,5,2,0,0,0,0,0,0,0
Delta,18,3,59,5084,20,9,66,1,4,0,10067,2,0,8,93,0,10067,5084,66,59,20,101,18,3,1,4,0,0,2,0,9
Denver,286,51,519,204882,348,18,1158,33,11,29,62567,30,24,39,1525,13,62567,204882,1158,519,348,1564,286,51,33,11,29,24,30,0,18
Dolores,1,0,13,369,1,0,7,0,0,0,818,1,0,0,7,0,818,369,7,13,1,7,1,0,0,0,0,0,1,0,0
Douglas,126,17,292,61960,109,24,608,17,3,3,88108,3,4,32,509,4,88108,61960,608,292,109,541,126,17,17,3,3,4,3,0,24
Eagle,11,5,26,13191,29,0,97,2,0,0,8181,1,1,3,111,0,8181,13191,97,26,29,114,11,5,2,0,0,1,1,0,0
El Paso,321,65,710,108899,308,43,1208,28,9,13,160318,19,18,60,1145,11,160318,108899,1208,710,308,1205,321,65,28,9,13,18,19,0,43
Elbert,22,7,67,3819,19,2,73,1,0,1,9108,2,1,6,77,1,9108,3819,73,67,19,83,22,7,1,0,1,1,2,0,2
Fremont,31,8,87,6844,27,0,81,6,0,0,12668,2,2,11,150,2,12668,6844,81,87,27,161,31,8,6,0,0,2,2,0,0
Garfield,18,6,45,11357,35,2,87,0,0,3,11359,2,0,11,157,0,11359,11357,87,45,35,168,18,6,0,0,3,0,2,0,2
Gilpin,5,0,25,1990,4,1,20,0,0,0,1283,0,0,3,38,0,1283,1990,20,25,4,41,5,0,0,0,0,0,0,0,1
Grand,5,4,27,4037,11,1,36,0,0,1,4128,0,1,1,57,0,4128,4037,36,27,11,58,5,4,0,0,1,1,0,0,1
Gunnison,8,3,30,5557,20,0,47,4,0,0,3131,1,0,1,68,1,3131,5557,47,30,20,69,8,3,4,0,0,0,1,0,0
Hinsdale,2,0,5,240,0,0,1,0,0,0,344,0,0,0,7,0,344,240,1,5,0,7,2,0,0,0,0,0,0,0,0
Huerfano,3,1,13,1989,11,1,12,0,0,0,1580,1,0,3,28,1,1580,1989,12,13,11,31,3,1,0,0,0,0,1,0,1
Jackson,1,0,0,277,2,0,4,0,0,0,624,0,0,1,5,0,624,277,4,0,2,6,1,0,0,0,0,0,0,0,0
Jefferson,470,70,706,158158,322,37,1464,62,11,25,131628,45,13,150,1892,15,131628,158158,1464,706,322,2042,470,70,62,11,25,13,45,0,37
Kiowa,5,1,5,178,0,0,2,0,0,0,650,0,0,4,7,0,650,178,2,5,0,11,5,1,0,0,0,0,0,0,0
Kit Carson,4,1,14,912,8,3,14,1,0,2,2455,0,0,3,25,0,2455,912,14,14,8,28,4,1,1,0,2,0,0,0,3
La Plata,10,0,73,16057,51,3,110,2,0,3,11503,1,0,2,164,0,11503,16057,110,73,51,166,10,0,2,0,3,0,1,0,3
Lake,3,1,12,1859,4,0,14,1,0,0,1078,0,0,3,27,0,1078,1859,14,12,4,30,3,1,1,0,0,0,0,0,0
Larimer,198,49,577,89823,196,10,862,23,4,7,73642,14,10,63,890,7,73642,89823,862,577,196,953,198,49,23,4,7,10,14,0,10
Las Animas,6,5,12,3562,10,1,16,2,0,3,3086,0,2,5,51,0,3086,3562,16,12,10,56,6,5,2,0,3,2,0,0,1
Lincoln,1,0,9,546,1,0,4,0,0,0,1717,1,0,4,21,0,1717,546,4,9,1,25,1,0,0,0,0,0,1,0,0
Logan,17,2,18,2846,7,1,26,2,1,1,6002,0,1,5,48,0,6002,2846,26,18,7,53,17,2,2,1,1,1,0,0,1
Mesa,94,12,133,24008,64,3,291,9,2,3,44578,5,5,40,380,4,44578,24008,291,133,64,420,94,12,9,2,3,5,5,0,3
Mineral,1,0,1,270,1,1,7,0,0,1,334,1,0,0,6,0,334,270,7,1,1,6,1,0,0,0,1,0,1,0,1
Moffat,11,2,27,1582,8,2,38,2,0,1,4135,0,1,6,56,0,4135,1582,38,27,8,62,11,2,2,0,1,1,0,0,2
Montezuma,14,3,31,4661,17,1,48,0,2,0,6961,2,1,7,76,1,6961,4661,48,31,17,83,14,3,0,2,0,1,2,0,1
Montrose,39,8,85,6495,18,68,102,3,0,4,12199,0,1,12,119,0,12199,6495,102,85,18,131,39,8,3,0,4,1,0,0,68
Morgan,7,0,26,3813,9,0,32,1,0,1,6272,2,0,7,64,0,6272,3813,32,26,9,71,7,0,1,0,1,0,2,0,0
Otero,7,0,31,3547,6,3,12,0,1,2,4393,0,2,6,55,0,4393,3547,12,31,6,61,7,0,0,1,2,2,0,0,3
Ouray,3,0,7,1636,5,1,19,1,0,0,1367,0,0,1,20,0,1367,1636,19,7,5,21,3,0,1,0,0,0,0,0,1
Park,21,4,38,4250,17,1,76,0,0,1,4896,0,0,3,76,0,4896,4250,76,38,17,79,21,4,0,0,1,0,0,0,1
Phillips,1,0,1,622,1,1,9,0,0,0,1613,0,0,2,11,0,1613,622,9,1,1,13,1,0,0,0,0,0,0,0,1
Pitkin,7,2,12,7349,10,0,43,1,0,0,2484,0,0,1,56,1,2484,7349,43,12,10,57,7,2,1,0,0,0,0,0,0
Prowers,9,0,10,1487,6,1,20,0,1,0,3043,1,0,1,36,0,3043,1487,20,10,6,37,9,0,0,1,0,0,1,0,1
Pueblo,131,48,132,41097,81,5,173,15,2,10,30257,13,8,27,420,8,30257,41097,173,132,81,447,131,48,15,2,10,8,13,0,5
Rio Blanco,5,0,19,655,3,0,12,0,0,0,2437,0,0,2,14,0,2437,655,12,19,3,16,5,0,0,0,0,0,0,0,0
Rio Grande,1,1,10,2448,4,1,10,1,0,1,2930,0,2,1,34,0,2930,2448,10,10,4,35,1,1,1,0,1,2,0,0,1
Routt,8,4,33,8270,13,2,66,6,0,0,4725,2,1,0,68,1,4725,8270,66,33,13,68,8,4,6,0,0,1,2,0,2
Saguache,2,2,10,1730,8,0,17,0,0,0,956,0,0,1,24,0,956,1730,17,10,8,25,2,2,0,0,0,0,0,0,0
San Juan,1,0,3,264,3,0,2,0,0,0,218,0,0,0,5,0,218,264,2,3,3,5,1,0,0,0,0,0,0,0,0
San Miguel,0,0,6,3349,11,2,23,0,0,0,933,0,0,1,25,0,933,3349,23,6,11,26,0,0,0,0,0,0,0,0,2
Sedgwick,1,2,2,468,3,0,3,0,0,0,857,2,0,1,12,0,857,468,3,2,3,13,1,2,0,0,0,0,2,0,0
Summit,10,4,22,9802,13,2,69,0,1,0,4883,0,1,3,89,0,4883,9802,69,22,13,92,10,4,0,1,0,1,0,0,2
Teller,24,7,45,4513,13,1,80,1,1,1,8146,3,1,4,66,0,8146,4513,80,45,13,70,24,7,1,1,1,1,3,0,1
Washington,2,0,6,529,6,0,7,3,1,0,1949,0,0,1,9,0,1949,529,7,6,6,10,2,0,3,1,0,0,0,0,0
Weld,168,39,472,47292,115,15,489,15,5,6,56526,8,6,57,648,5,56526,47292,489,472,115,705,168,39,15,5,6,6,8,0,15
Yuma,15,2,5,1117,3,0,19,1,0,0,3286,0,0,3,32,0,3286,1117,19,5,3,35,15,2,1,0,0,0,0,0,0
