county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_CURRY,pri_rep_GILBERT,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_oth_AMONDSON,gen_oth_BALDWIN,gen_oth_HARRIS,gen_oth_NADER,gen_oth_PAUL,gen_oth_RIVA,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,grn_general_total,oth_general_total
Acadia,100,2030,32,213,15,1958,53,5,4,8,659,5,8,550,51,79,1,19,7028,182,6,35,9,117,101,4,19229,1389,4401,19229,7028,182,272
Allen,45,978,13,92,9,757,30,0,0,2,262,0,1,145,14,14,0,2,2891,92,3,23,5,64,54,2,6333,440,1924,6333,2891,92,151
Ascension,122,2794,41,248,20,3726,84,6,2,32,1689,7,14,1182,223,220,5,38,14625,191,6,63,12,214,213,8,31239,3418,7035,31239,14625,191,516
Assumption,53,899,22,77,4,1178,21,1,0,3,112,1,1,156,18,12,0,4,4756,92,1,15,6,53,52,4,5981,308,2254,5981,4756,92,131
Avoyelles,70,1499,22,114,15,1471,28,0,2,16,235,2,1,308,16,26,0,12,6327,146,3,29,14,109,72,2,10236,618,3219,10236,6327,146,229
Beauregard,40,1202,8,133,10,732,40,2,2,9,755,2,7,433,34,54,0,6,3071,72,0,27,4,99,78,5,10718,1304,2165,10718,3071,72,213
Bienville,46,642,10,56,12,963,22,2,0,3,326,0,2,135,34,13,1,4,3589,15,0,10,6,17,17,0,3776,520,1751,3776,3589,15,50
Bossier,77,2568,18,228,7,2615,92,12,1,31,2684,13,15,1459,152,314,3,41,12703,115,3,42,5,104,149,1,32713,4725,5605,32713,12703,115,304
Caddo,279,7521,78,496,63,14604,220,27,6,81,5517,20,33,3666,431,741,7,83,55536,195,6,91,26,213,353,12,52228,10612,23261,52228,55536,195,701
Calcasieu,221,7283,68,436,47,8179,173,13,7,39,3000,11,37,2234,282,344,5,59,30244,331,10,114,37,510,425,11,50449,6031,16407,50449,30244,331,1107
Caldwell,27,441,3,83,3,313,27,1,0,1,236,0,2,155,11,9,1,2,1118,23,2,8,4,24,18,0,3696,418,897,3696,1118,23,56
Cameron,6,445,4,49,1,118,18,0,0,1,74,0,0,50,9,6,0,3,613,28,0,4,8,37,14,0,3089,143,641,3089,613,28,63
Catahoula,27,418,6,57,2,367,23,1,0,2,155,2,2,82,7,1,0,3,1659,31,3,6,6,18,15,1,3486,255,900,3486,1659,31,49
Claiborne,27,441,12,58,5,726,31,2,0,2,380,2,0,135,9,22,0,2,3025,25,0,7,5,8,21,0,3750,554,1300,3750,3025,25,41
Concordia,83,914,28,261,18,1555,72,4,3,11,451,0,5,368,28,34,0,7,3766,29,0,16,6,21,21,0,5668,911,2931,5668,3766,29,64
De Soto,24,858,10,101,7,1327,44,4,0,2,595,0,3,229,28,35,1,6,5242,39,2,18,2,29,38,4,6883,903,2371,6883,5242,39,93
East Baton Rouge,1073,16191,287,2385,283,37179,928,76,29,438,10634,69,228,14778,2149,2559,16,367,99652,379,27,208,50,578,1025,40,95390,31343,58326,95390,99652,379,1928
East Carroll,19,222,5,13,1,491,7,1,0,1,94,0,0,65,3,6,1,3,2267,9,2,6,3,6,12,0,1254,174,758,1254,2267,9,29
East Feliciana,58,890,19,167,14,1443,45,4,1,11,424,1,5,356,59,41,1,13,4383,37,3,25,6,30,30,1,5432,916,2636,5432,4383,37,95
Evangeline,70,1189,27,98,15,1370,34,1,1,3,301,2,5,304,12,33,1,7,5853,150,8,35,14,67,44,12,9793,670,2803,9793,5853,150,180
Franklin,40,702,15,141,10,766,21,4,0,2,491,1,1,242,39,26,0,3,2961,40,5,13,4,25,30,2,6278,809,1695,6278,2961,40,79
Grant,35,609,5,122,9,316,36,0,2,3,348,3,3,184,19,25,1,6,1474,53,0,8,10,50,46,10,6907,594,1132,6907,1474,53,124
Iberia,114,1674,28,146,20,3719,37,18,7,26,791,10,19,733,84,138,3,30,12492,229,8,55,15,98,139,5,20127,1859,5738,20127,12492,229,320
Iberville,106,1178,18,108,17,2954,40,5,1,8,221,0,5,240,32,29,1,8,9023,81,2,26,9,48,42,5,7185,550,4421,7185,9023,81,132
Jackson,28,526,9,96,5,752,22,3,1,5,543,1,2,169,10,23,1,7,2456,33,0,13,6,14,23,1,5190,765,1438,5190,2456,33,57
Jefferson,380,12913,116,755,73,15745,196,49,18,158,5220,35,95,8643,911,993,12,145,65096,998,20,197,57,686,843,32,113191,16279,30178,113191,65096,998,1835
Jefferson Davis,48,1183,11,137,15,954,17,1,0,2,374,3,6,334,19,50,0,8,3923,89,3,26,4,100,77,1,9278,797,2365,9278,3923,89,211
Lafayette,192,4888,65,332,44,8378,132,32,13,68,3053,18,52,3306,521,596,3,92,32145,388,4,125,21,301,598,5,62055,7754,14031,62055,32145,388,1054
Lafourche,101,3654,27,272,31,1716,57,7,2,19,696,10,8,743,122,103,2,17,9662,406,14,54,12,269,382,5,27089,1729,5858,27089,9662,406,736
Lasalle,23,418,22,119,2,178,35,0,1,4,348,1,0,150,7,16,0,0,860,28,1,7,3,18,32,2,5602,527,797,5602,860,28,63
Lincoln,44,989,12,97,12,1788,32,9,3,7,1162,2,1,544,72,61,0,6,8292,40,3,33,5,29,93,4,10680,1867,2974,10680,8292,40,167
Livingston,111,3281,41,325,18,1080,81,5,1,15,2297,9,13,1248,262,216,1,43,6681,281,4,83,19,239,313,3,43269,4110,4937,43269,6681,281,661
Madison,24,267,9,26,6,724,12,0,1,2,164,1,1,135,8,9,0,2,3100,19,1,5,1,5,16,1,2152,323,1068,2152,3100,19,29
Morehouse,50,747,18,90,10,1524,26,2,0,3,583,1,3,271,19,39,2,11,5792,40,4,21,16,38,30,1,7258,934,2465,7258,5792,40,110
Natchitoches,102,1630,39,271,25,2628,92,11,2,25,807,4,9,645,92,143,4,22,7801,57,2,18,10,38,81,6,9054,1764,4787,9054,7801,57,155
Orleans,358,10243,85,331,77,34323,126,30,11,103,1158,19,51,3157,374,327,8,91,117102,991,16,171,38,396,572,23,28130,5329,45543,28130,117102,991,1216
Ouachita,219,4325,64,466,48,7444,172,22,4,52,4156,17,19,2872,293,321,2,49,24813,147,6,101,18,134,279,5,41741,7807,12738,41741,24813,147,543
Plaquemines,17,499,8,53,9,810,7,6,1,7,211,1,1,217,19,38,0,5,3380,62,4,14,3,49,42,1,6894,506,1403,6894,3380,62,113
Pointe Coupee,73,893,16,69,16,1484,22,2,0,4,198,0,3,243,27,31,1,5,5516,81,3,9,8,62,47,7,6702,514,2573,6702,5516,81,136
Rapides,147,2866,30,356,28,5146,136,20,5,33,1808,11,15,1364,181,271,0,39,20127,203,12,56,13,198,280,21,36611,3747,8709,36611,20127,203,580
Red River,21,369,8,32,6,517,18,1,1,3,204,1,1,70,11,16,0,0,2080,21,0,7,4,10,23,0,2484,308,971,2484,2080,21,44
Richland,38,461,9,86,7,760,27,1,1,2,484,4,1,233,27,22,0,7,3311,42,3,14,3,23,33,1,5751,782,1388,5751,3311,42,77
Sabine,29,864,16,89,7,447,41,3,1,6,506,1,3,229,15,47,0,5,2245,44,1,17,13,45,60,1,7226,816,1493,7226,2245,44,137
St. Bernard,28,1134,5,81,3,590,16,3,1,11,149,0,1,177,38,31,0,5,3491,149,5,27,11,100,108,7,9643,416,1857,9643,3491,149,258
St. Charles,57,1558,24,206,32,2594,36,4,1,21,818,6,7,860,109,132,1,17,8522,135,1,24,12,105,136,5,16457,1976,4507,16457,8522,135,283
St. Helena,42,439,16,87,12,1085,17,1,1,2,155,0,2,85,24,9,0,8,3567,37,2,8,6,15,23,4,2522,287,1698,2522,3567,37,58
St. James,80,963,29,108,11,2615,28,4,1,5,110,0,1,154,16,11,0,4,6994,57,0,11,2,46,21,1,5432,306,3834,5432,6994,57,81
St. John The Baptist,75,1205,21,79,10,4109,34,6,3,8,340,2,3,323,22,41,0,9,12424,111,4,43,9,77,72,4,8912,757,5533,8912,12424,111,209
St. Landry,202,2791,69,200,53,6298,78,18,9,19,714,2,14,682,110,107,2,29,20268,253,9,44,18,112,124,15,21650,1706,9691,21650,20268,253,322
St. Martin,120,1896,38,162,31,2935,50,17,4,16,413,6,13,447,59,64,1,12,9419,196,2,27,11,69,78,7,14443,1052,5232,14443,9419,196,194
St. Mary,69,1322,21,123,21,2787,52,4,1,16,589,4,9,632,76,108,1,10,9345,132,2,25,15,80,117,4,13183,1450,4395,13183,9345,132,243
St. Tammany,134,5398,48,476,46,5184,125,16,11,124,5042,19,60,6300,776,902,8,106,24596,402,9,200,39,410,790,18,83078,13364,11411,83078,24596,402,1466
Tangipahoa,129,3238,38,392,25,4249,63,12,5,43,1628,12,13,1301,172,216,2,37,16438,217,9,56,23,163,253,9,31434,3441,8134,31434,16438,217,513
Tensas,20,259,8,38,4,506,9,1,1,3,109,0,0,106,4,15,1,4,1646,11,0,3,1,4,8,0,1367,244,844,1367,1646,11,16
Terrebonne,92,2923,44,208,30,2839,59,16,3,29,982,10,11,1136,154,151,2,27,11581,316,8,75,16,184,297,9,28210,2521,6195,28210,11581,316,589
Union,49,731,15,95,8,785,43,1,1,6,653,1,2,261,34,34,1,7,3103,42,1,21,7,27,47,1,7619,1001,1726,7619,3103,42,104
Vermilion,60,2238,29,186,17,1473,38,4,2,9,452,2,11,462,78,83,2,9,6266,185,6,41,10,129,123,4,18069,1114,4041,18069,6266,185,313
Vernon,45,1271,23,198,7,762,47,5,0,7,637,2,0,436,28,35,0,4,3534,85,2,26,6,98,69,3,11946,1154,2353,11946,3534,85,204
Washington,69,1499,34,141,15,1789,56,7,3,3,511,3,4,430,31,53,1,7,6122,107,4,31,10,56,74,5,12215,1053,3603,12215,6122,107,180
Webster,54,1366,17,116,11,1659,49,4,1,10,928,7,1,338,35,54,1,12,6610,63,5,33,6,50,82,4,11417,1391,3272,11417,6610,63,180
West Baton Rouge,33,883,29,91,5,1726,26,1,0,3,232,1,3,239,33,20,0,5,5043,51,0,15,5,53,43,2,6654,537,2793,6654,5043,51,118
West Carroll,11,358,7,67,3,200,19,0,0,1,333,1,0,109,5,10,0,4,878,32,1,2,1,11,17,0,4045,463,665,4045,878,32,32
West Feliciana,28,362,13,33,7,755,11,2,0,2,162,0,1,190,38,35,0,4,2415,13,1,6,4,6,24,1,3150,434,1209,3150,2415,13,42
Winn,14,487,12,55,7,467,24,2,1,2,231,0,0,121,14,8,0,1,2047,39,3,8,3,9,29,2,4632,380,1066,4632,2047,39,54
